Time Period,period start date,Payer Name,Payer Segment,Channel,Line of therapy,HCO Territory,HCO Region,HCO Area,HCO Nation,drug name,class,claims count,paid claims count,reverse claim count,rejected claim count,reject reason,Patient Count
M3,4/1/2026,Highmark,Regional Health Plan,Managed Care,2L,Alabama_Birmingham,Alabama,North,US,BIMZLEX,IL-17A & IL-17F,864,593,13,258,Medical Records Requested,648
M10,9/1/2025,Independence Blue Cross,Regional Health Plan,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,Humira,TNF,769,418,44,307,Prior Authorization Required,508
M2,5/1/2026,Humana,Commercial,Medicare Advantage,1L,Alabama_Birmingham,Alabama,North,US,Cosentyx,IL-17A,617,516,23,78,Refill Too Soon,494
M4,3/1/2026,Medicaid State Plans,Government,Medicaid,1L,Alabama_Birmingham,Alabama,North,US,Humira,TNF,875,593,12,270,Prior Authorization Required,726
M8,11/1/2025,Blue Cross Blue Shield,Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,Stelara,IL-12/23,486,233,46,207,Referral Required,433
M11,8/1/2025,Health Care Service Corporation,Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,Skyrizi,IL-23,876,369,40,467,Referral Required,622
M12,7/1/2025,Blue Cross Blue Shield,Commercial,Managed Care,3L+,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,168,112,35,21,Authorization Denied,111
M6,1/1/2026,Veterans Health Administration (VA),Government,Veterans/Federal,3L+,Alabama_Birmingham,Alabama,North,US,Stelara,IL-12/23,637,427,40,170,Prior Authorization Required,554
M11,8/1/2025,EmblemHealth,Regional Health Plan,Managed Care,2L,Alabama_Birmingham,Alabama,North,US,Tremfya,IL-23,601,271,50,280,Referral Required,535
M3,4/1/2026,Elevance Health (Anthem),Commercial,Managed Care,3L+,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,270,192,33,45,Medical Records Requested,227
M12,7/1/2025,Blue Cross Blue Shield,Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,134,56,11,67,Prior Authorization Required,110
M12,7/1/2025,Highmark,Regional Health Plan,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,Humira,TNF,451,61,42,348,Refill Too Soon,406
M2,5/1/2026,Humana,Commercial,Medicare Advantage,1L,Alabama_Birmingham,Alabama,North,US,Stelara,IL-12/23,847,322,24,501,Medical Records Requested,678
M11,8/1/2025,UnitedHealthcare,Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,Humira,TNF,182,54,32,96,Refill Too Soon,137
M4,3/1/2026,Aetna,Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,Cosentyx,IL-17A,528,55,28,445,Authorization Denied,475
M9,10/1/2025,Medicaid State Plans,Government,Medicaid,1L,Alabama_Birmingham,Alabama,North,US,Stelara,IL-12/23,280,53,23,204,Authorization Denied,218
M4,3/1/2026,CVS Caremark,PBM,Pharmacy Benefit,1L,Alabama_Birmingham,Alabama,North,US,Humira,TNF,302,98,14,190,Prior Authorization Required,217
M9,10/1/2025,Medicaid State Plans,Government,Medicaid,2L,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,818,153,38,627,Prior Authorization Required,728
M8,11/1/2025,Aetna,Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,Skyrizi,IL-23,939,603,18,318,Medical Records Requested,845
M9,10/1/2025,Humana,Commercial,Medicare Advantage,3L+,Alabama_Birmingham,Alabama,North,US,Cosentyx,IL-17A,954,603,0,351,Medical Records Requested,811
M6,1/1/2026,Optum Rx,PBM,Pharmacy Benefit,2L,Alabama_Birmingham,Alabama,North,US,Cosentyx,IL-17A,330,63,33,234,Referral Required,267
M8,11/1/2025,CareSource,Medicaid Managed Care,Medicaid,1L,Alabama_Birmingham,Alabama,North,US,Humira,TNF,184,152,12,20,Medical Records Requested,155
M6,1/1/2026,Molina Healthcare,Medicaid Managed Care,Medicaid,3L+,Alabama_Birmingham,Alabama,North,US,Skyrizi,IL-23,350,300,13,37,Prior Authorization Required,277
M12,7/1/2025,Medicare FFS,Government,Medicare,3L+,Alabama_Birmingham,Alabama,North,US,Skyrizi,IL-23,201,156,34,11,Referral Required,131
M1,6/1/2026,Medicare FFS,Government,Medicare,1L,Alabama_Birmingham,Alabama,North,US,Skyrizi,IL-23,449,160,49,240,Medical Records Requested,346
M12,7/1/2025,CVS Caremark,PBM,Pharmacy Benefit,3L+,Alabama_Birmingham,Alabama,North,US,Tremfya,IL-23,538,498,10,30,Referral Required,447
M11,8/1/2025,Prime Therapeutics,PBM,Pharmacy Benefit,2L,Alabama_Birmingham,Alabama,North,US,Tremfya,IL-23,918,357,38,523,Prior Authorization Required,780
M4,3/1/2026,Florida Blue,Regional Health Plan,Managed Care,2L,Alabama_Birmingham,Alabama,North,US,Humira,TNF,727,556,22,149,Referral Required,509
M6,1/1/2026,Health Care Service Corporation,Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,Stelara,IL-12/23,766,336,9,421,Prior Authorization Required,659
M7,12/1/2025,Cigna Healthcare,Commercial,Managed Care,3L+,Alabama_Birmingham,Alabama,North,US,Skyrizi,IL-23,376,340,10,26,Refill Too Soon,301
M12,7/1/2025,Express Scripts,PBM,Pharmacy Benefit,3L+,Alabama_Birmingham,Alabama,North,US,Stelara,IL-12/23,983,820,31,132,Prior Authorization Required,737
M7,12/1/2025,Blue Cross Blue Shield,Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,Tremfya,IL-23,191,138,14,39,Authorization Denied,124
M3,4/1/2026,Blue Cross Blue Shield,Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,656,172,17,467,Authorization Denied,518
M6,1/1/2026,Highmark,Regional Health Plan,Managed Care,2L,Alabama_Birmingham,Alabama,North,US,Tremfya,IL-23,379,64,36,279,Prior Authorization Required,322
M4,3/1/2026,CareSource,Medicaid Managed Care,Medicaid,2L,Alabama_Birmingham,Alabama,North,US,Tremfya,IL-23,979,734,6,239,Prior Authorization Required,842
M7,12/1/2025,Cigna Healthcare,Commercial,Managed Care,3L+,Alabama_Birmingham,Alabama,North,US,Stelara,IL-12/23,807,122,24,661,Prior Authorization Required,726
M2,5/1/2026,Florida Blue,Regional Health Plan,Managed Care,2L,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,148,84,17,47,Prior Authorization Required,107
M4,3/1/2026,Independence Blue Cross,Regional Health Plan,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,Tremfya,IL-23,641,540,22,79,Referral Required,564
M2,5/1/2026,Humana,Commercial,Medicare Advantage,1L,Alabama_Birmingham,Alabama,North,US,Cosentyx,IL-17A,977,426,32,519,Authorization Denied,645
M12,7/1/2025,UnitedHealthcare,Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,362,334,16,12,Refill Too Soon,308
M9,10/1/2025,Highmark,Regional Health Plan,Managed Care,2L,Alabama_Birmingham,Alabama,North,US,Cosentyx,IL-17A,491,105,50,336,Authorization Denied,339
M2,5/1/2026,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,1L,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,776,86,20,670,Refill Too Soon,667
M8,11/1/2025,Medicare FFS,Government,Medicare,3L+,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,975,90,44,841,Referral Required,858
M11,8/1/2025,Veterans Health Administration (VA),Government,Veterans/Federal,1L,Alabama_Birmingham,Alabama,North,US,BIMZLEX,IL-17A & IL-17F,750,410,8,332,Medical Records Requested,510
M9,10/1/2025,WellCare,Medicare/Medicaid,Medicare Advantage,3L+,Alabama_Birmingham,Alabama,North,US,Tremfya,IL-23,840,323,45,472,Authorization Denied,613
M11,8/1/2025,Medicaid State Plans,Government,Medicaid,2L,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,900,462,7,431,Prior Authorization Required,765
M2,5/1/2026,Veterans Health Administration (VA),Government,Veterans/Federal,1L,Alabama_Birmingham,Alabama,North,US,Humira,TNF,473,300,47,126,Referral Required,307
M8,11/1/2025,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,3L+,Alabama_Birmingham,Alabama,North,US,Humira,TNF,217,161,32,24,Authorization Denied,163
M3,4/1/2026,TRICARE,Government,Federal,2L,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,540,95,8,437,Authorization Denied,373
